Date,Year,Quarter,Month,MonthNum,Week,DayOfWeek,IsWeekend
2024-01-01,2024,Q1,Jan,1,1,Monday,False
2024-01-02,2024,Q1,Jan,1,1,Tuesday,False
2024-01-03,2024,Q1,Jan,1,1,Wednesday,False
2024-01-04,2024,Q1,Jan,1,1,Thursday,False
2024-01-05,2024,Q1,Jan,1,1,Friday,False
2024-01-06,2024,Q1,Jan,1,1,Saturday,True
2024-01-07,2024,Q1,Jan,1,1,Sunday,True
2024-01-08,2024,Q1,Jan,1,2,Monday,False
2024-01-09,2024,Q1,Jan,1,2,Tuesday,False
2024-01-10,2024,Q1,Jan,1,2,Wednesday,False
2024-01-11,2024,Q1,Jan,1,2,Thursday,False
2024-01-12,2024,Q1,Jan,1,2,Friday,False
2024-01-13,2024,Q1,Jan,1,2,Saturday,True
2024-01-14,2024,Q1,Jan,1,2,Sunday,True
2024-01-15,2024,Q1,Jan,1,3,Monday,False
2024-01-16,2024,Q1,Jan,1,3,Tuesday,False
2024-01-17,2024,Q1,Jan,1,3,Wednesday,False
2024-01-18,2024,Q1,Jan,1,3,Thursday,False
2024-01-19,2024,Q1,Jan,1,3,Friday,False
2024-01-20,2024,Q1,Jan,1,3,Saturday,True
2024-01-21,2024,Q1,Jan,1,3,Sunday,True
2024-01-22,2024,Q1,Jan,1,4,Monday,False
2024-01-23,2024,Q1,Jan,1,4,Tuesday,False
2024-01-24,2024,Q1,Jan,1,4,Wednesday,False
2024-01-25,2024,Q1,Jan,1,4,Thursday,False
2024-01-26,2024,Q1,Jan,1,4,Friday,False
2024-01-27,2024,Q1,Jan,1,4,Saturday,True
2024-01-28,2024,Q1,Jan,1,4,Sunday,True
2024-01-29,2024,Q1,Jan,1,5,Monday,False
2024-01-30,2024,Q1,Jan,1,5,Tuesday,False
2024-01-31,2024,Q1,Jan,1,5,Wednesday,False
2024-02-01,2024,Q1,Feb,2,5,Thursday,False
2024-02-02,2024,Q1,Feb,2,5,Friday,False
2024-02-03,2024,Q1,Feb,2,5,Saturday,True
2024-02-04,2024,Q1,Feb,2,5,Sunday,True
2024-02-05,2024,Q1,Feb,2,6,Monday,False
2024-02-06,2024,Q1,Feb,2,6,Tuesday,False
2024-02-07,2024,Q1,Feb,2,6,Wednesday,False
2024-02-08,2024,Q1,Feb,2,6,Thursday,False
2024-02-09,2024,Q1,Feb,2,6,Friday,False
2024-02-10,2024,Q1,Feb,2,6,Saturday,True
2024-02-11,2024,Q1,Feb,2,6,Sunday,True
2024-02-12,2024,Q1,Feb,2,7,Monday,False
2024-02-13,2024,Q1,Feb,2,7,Tuesday,False
2024-02-14,2024,Q1,Feb,2,7,Wednesday,False
2024-02-15,2024,Q1,Feb,2,7,Thursday,False
2024-02-16,2024,Q1,Feb,2,7,Friday,False
