TradeID,Date,CommodityID,TraderID,Position,Volume,Price,Notional_EUR,PnL_EUR
TR000001,2024-01-01,CO2,T04,Short,1737,66.09,114795.31,-1740.04
TR000002,2024-01-01,PWR,T05,Long,797,86.48,68925.2,-1978.1
TR000003,2024-01-01,COAL,T01,Long,1949,110.88,216104.01,-2489.44
TR000004,2024-01-01,CO2,T02,Long,1413,62.66,88535.06,-387.38
TR000005,2024-01-01,CO2,T06,Long,1071,67.21,71979.6,-760.59
TR000006,2024-01-01,GAS,T01,Long,865,32.34,27970.49,369.95
TR000007,2024-01-01,GAS,T03,Long,266,35.6,9468.37,152.11
TR000008,2024-01-01,CO2,T02,Long,697,57.68,40206.35,-824.3
TR000009,2024-01-01,COAL,T02,Short,1101,110.84,122032.51,-1092.88
TR000010,2024-01-01,CO2,T08,Short,1535,57.03,87536.06,-1404.27
TR000011,2024-01-01,PWR,T08,Long,1764,84.08,148314.88,-2148.1
TR000012,2024-01-01,COAL,T06,Long,590,113.46,66938.99,2296.57
TR000013,2024-01-01,CO2,T06,Short,845,62.62,52913.68,250.94
TR000014,2024-01-01,CO2,T05,Long,1298,63.79,82804.32,836.07
TR000015,2024-01-01,COAL,T02,Long,367,110.5,40554.59,-760.06
TR000016,2024-01-01,COAL,T06,Long,1186,109.93,130372.88,-3272.69
TR000017,2024-01-01,CO2,T07,Short,1476,66.86,98690.14,383.45
TR000018,2024-01-01,PWR,T01,Long,329,89.84,29557.73,-403.19
TR000019,2024-01-01,GAS,T04,Short,813,33.21,27002.12,-174.77
TR000020,2024-01-01,COAL,T01,Short,600,109.43,65659.13,-607.68
TR000021,2024-01-01,PWR,T07,Long,1837,82.82,152134.32,1269.08
TR000022,2024-01-02,CO2,T05,Long,1064,68.91,73322.26,167.64
TR000023,2024-01-02,COAL,T02,Long,1934,111.17,215003.88,-2303.82
TR000024,2024-01-02,GAS,T07,Short,1577,29.97,47257.97,17.93
TR000025,2024-01-02,COAL,T06,Short,87,106.49,9264.41,113.37
TR000026,2024-01-02,COAL,T08,Long,502,108.96,54698.9,2231.85
TR000027,2024-01-02,CO2,T06,Short,1818,64.14,116603.78,-1248.83
TR000028,2024-01-02,PWR,T07,Long,1234,79.83,98507.29,-2238.35
TR000029,2024-01-02,CO2,T07,Long,1736,67.49,117157.33,-1898.3
TR000030,2024-01-02,COAL,T06,Long,1550,106.21,164629.11,3412.77
TR000031,2024-01-02,GAS,T08,Long,370,34.22,12660.58,1.39
TR000032,2024-01-02,GAS,T01,Long,903,29.61,26740.52,802.36
TR000033,2024-01-02,GAS,T03,Short,1042,30.64,31924.97,160.34
TR000034,2024-01-02,CO2,T03,Long,872,74.33,64813.35,1792.17
TR000035,2024-01-02,CO2,T06,Long,1131,59.91,67757.23,-2023.16
TR000036,2024-01-02,PWR,T08,Long,851,82.96,70602.71,-336.61
TR000037,2024-01-02,GAS,T02,Long,910,30.8,28028.22,808.74
TR000038,2024-01-02,CO2,T04,Long,1277,66.74,85228.12,990.31
TR000039,2024-01-02,GAS,T03,Short,1910,34.52,65928.2,1414.3
TR000040,2024-01-02,CO2,T05,Short,841,61.18,51454.16,-356.66
TR000041,2024-01-02,GAS,T06,Short,740,31.07,22988.21,-728.03
TR000042,2024-01-02,CO2,T05,Long,1326,62.88,83384.65,-1585.2
TR000043,2024-01-02,COAL,T08,Long,1976,105.11,207690.65,-2569.09
TR000044,2024-01-02,PWR,T08,Short,1942,85.32,165692.51,-1229.27
TR000045,2024-01-03,PWR,T05,Short,1768,75.63,133716.53,-728.23
TR000046,2024-01-03,PWR,T04,Long,748,81.82,61199.93,871.31
TR000047,2024-01-03,CO2,T02,Short,1637,65.42,107098.95,-429.95
TR000048,2024-01-03,COAL,T06,Short,1224,114.61,140277.89,-1665.79
TR000049,2024-01-03,COAL,T04,Long,800,117.2,93761.7,569.02
TR000050,2024-01-03,GAS,T06,Short,995,31.35,31197.67,-95.38
TR000051,2024-01-03,GAS,T02,Short,1400,31.53,44145.53,-303.57
TR000052,2024-01-03,CO2,T05,Long,88,68.36,6016.11,-14.43
TR000053,2024-01-03,PWR,T08,Short,397,92.8,36841.35,-425.99
TR000054,2024-01-03,COAL,T03,Long,129,102.51,13223.65,118.83
TR000055,2024-01-03,COAL,T06,Long,1216,108.15,131512.06,-1097.17
TR000056,2024-01-03,PWR,T05,Short,1481,84.14,124615.94,1122.67
TR000057,2024-01-03,CO2,T01,Long,90,62.06,5585.34,12.6
TR000058,2024-01-03,COAL,T03,Short,958,104.02,99653.35,-1015.96
TR000059,2024-01-03,PWR,T04,Long,1065,77.48,82518.13,234.66
TR000060,2024-01-03,PWR,T05,Short,738,92.08,67954.76,382.26
TR000061,2024-01-03,GAS,T06,Short,1718,32.55,55914.05,-1603.22
TR000062,2024-01-04,COAL,T04,Short,50,107.1,5355.06,52.15
TR000063,2024-01-04,PWR,T05,Long,820,63.74,52269.76,-210.33
TR000064,2024-01-04,CO2,T03,Long,1376,61.05,84005.5,-339.08
TR000065,2024-01-04,PWR,T01,Short,1379,86.27,118970.54,-88.47
TR000066,2024-01-04,GAS,T06,Short,591,33.36,19715.93,30.63
TR000067,2024-01-04,COAL,T03,Long,1523,110.54,168347.92,-1215.48
TR000068,2024-01-04,COAL,T05,Long,1769,105.67,186928.54,1367.4
TR000069,2024-01-04,CO2,T07,Long,1478,61.85,91413.64,-766.54
TR000070,2024-01-04,PWR,T07,Long,298,84.41,25153.01,15.9
TR000071,2024-01-04,GAS,T04,Short,1326,32.97,43722.68,-496.8
TR000072,2024-01-04,COAL,T01,Long,575,116.54,67012.84,-250.33
TR000073,2024-01-04,COAL,T04,Long,1088,116.06,126277.85,-4653.49
TR000074,2024-01-04,COAL,T07,Long,194,106.97,20751.8,-109.19
TR000075,2024-01-04,PWR,T06,Short,672,94.59,63567.45,-529.81
TR000076,2024-01-04,PWR,T08,Short,364,90.7,33014.15,-945.57
TR000077,2024-01-04,PWR,T03,Long,1519,92.31,140212.0,-86.88
TR000078,2024-01-04,COAL,T06,Short,124,110.72,13729.14,-186.96
TR000079,2024-01-04,GAS,T05,Short,1508,35.17,53034.16,-1288.42
TR000080,2024-01-04,PWR,T05,Short,139,82.22,11429.03,52.58
TR000081,2024-01-05,PWR,T02,Long,310,80.46,24943.35,-800.23
TR000082,2024-01-05,CO2,T06,Long,1492,74.36,110945.9,-1005.86
TR000083,2024-01-05,PWR,T03,Long,637,86.08,54832.16,73.52
TR000084,2024-01-05,PWR,T02,Long,1364,89.71,122362.57,1170.95
TR000085,2024-01-05,PWR,T04,Long,1913,95.5,182693.16,2260.55
TR000086,2024-01-05,GAS,T02,Long,1056,29.18,30815.81,460.82
TR000087,2024-01-05,GAS,T01,Short,1696,30.69,52042.5,-400.16
TR000088,2024-01-05,CO2,T08,Long,1000,60.78,60783.58,-744.9
TR000089,2024-01-05,CO2,T04,Short,864,65.38,56487.83,802.7
TR000090,2024-01-05,CO2,T08,Short,144,68.8,9907.06,-144.68
TR000091,2024-01-05,CO2,T08,Long,761,65.71,50001.75,626.7
TR000092,2024-01-05,GAS,T08,Short,877,31.73,27825.83,-19.58
TR000093,2024-01-05,CO2,T01,Long,1978,62.69,124000.17,2421.44
TR000094,2024-01-05,PWR,T04,Long,469,81.2,38082.89,-282.99
TR000095,2024-01-05,PWR,T02,Short,251,93.59,23491.25,243.28
TR000096,2024-01-05,PWR,T06,Short,524,84.64,44350.98,-537.15
TR000097,2024-01-05,PWR,T01,Long,759,85.0,64514.45,-1276.56
TR000098,2024-01-05,PWR,T06,Long,1434,87.77,125856.22,26.83
TR000099,2024-01-05,GAS,T07,Short,1964,32.06,62968.58,22.79
TR000100,2024-01-05,GAS,T03,Short,818,32.51,26589.56,-465.25
TR000101,2024-01-08,GAS,T05,Short,1337,31.52,42145.4,-150.65
TR000102,2024-01-08,COAL,T01,Long,1908,114.91,219248.14,-7150.75
TR000103,2024-01-08,COAL,T02,Long,1337,110.64,147921.85,2170.66
TR000104,2024-01-08,CO2,T05,Long,993,62.51,62069.24,-872.71
TR000105,2024-01-08,GAS,T02,Short,563,29.51,16611.44,-439.71
TR000106,2024-01-08,PWR,T05,Short,983,89.7,88173.99,1868.88
TR000107,2024-01-08,PWR,T01,Long,1231,82.9,102046.46,394.11
TR000108,2024-01-08,GAS,T05,Long,1432,35.38,50664.8,510.9
TR000109,2024-01-08,GAS,T07,Short,887,33.76,29948.89,-517.26
TR000110,2024-01-08,PWR,T05,Long,1702,96.15,163652.43,-51.18
TR000111,2024-01-08,PWR,T07,Short,955,84.46,80664.04,-2780.44
TR000112,2024-01-08,GAS,T01,Long,78,32.3,2519.1,-8.41
TR000113,2024-01-08,CO2,T06,Long,807,73.19,59062.01,-269.81
TR000114,2024-01-08,CO2,T08,Long,414,65.05,26930.36,-266.11
TR000115,2024-01-08,PWR,T07,Long,91,97.16,8841.3,-6.27
TR000116,2024-01-08,COAL,T01,Long,866,113.97,98701.02,-880.11
TR000117,2024-01-08,GAS,T06,Short,1558,34.04,53039.06,-548.19
TR000118,2024-01-08,GAS,T06,Long,1855,33.33,61821.94,124.12
TR000119,2024-01-08,COAL,T04,Long,664,115.44,76653.67,-3118.84
TR000120,2024-01-08,COAL,T07,Long,232,105.94,24578.49,471.14
TR000121,2024-01-08,COAL,T06,Short,1499,113.51,170146.02,-722.35
TR000122,2024-01-08,GAS,T04,Short,1681,31.4,52779.61,939.21
TR000123,2024-01-08,COAL,T03,Short,1821,120.36,219169.93,2138.13
TR000124,2024-01-08,GAS,T03,Short,1743,31.61,55093.87,665.08
TR000125,2024-01-08,GAS,T03,Long,1417,29.1,41234.52,-746.8
TR000126,2024-01-08,COAL,T04,Short,1226,119.22,146159.43,1455.52
TR000127,2024-01-08,CO2,T07,Long,267,62.58,16709.61,-133.09
TR000128,2024-01-08,GAS,T04,Short,111,34.25,3801.96,32.55
TR000129,2024-01-08,COAL,T02,Long,1001,109.54,109652.63,1851.5
TR000130,2024-01-09,PWR,T07,Long,1468,88.18,129450.03,-389.73
TR000131,2024-01-09,CO2,T08,Long,642,63.06,40485.36,135.9
TR000132,2024-01-09,PWR,T01,Short,1822,88.41,161089.15,-4873.48
TR000133,2024-01-09,CO2,T02,Long,1243,67.04,83330.01,1071.76
TR000134,2024-01-09,COAL,T08,Short,1743,108.61,189313.36,2367.06
TR000135,2024-01-09,GAS,T08,Short,1186,33.34,39536.58,883.28
TR000136,2024-01-09,CO2,T06,Short,1297,66.05,85670.22,-2027.11
TR000137,2024-01-09,CO2,T08,Long,1397,67.1,93742.46,-878.42
TR000138,2024-01-09,PWR,T03,Short,355,82.14,29160.27,-55.9
TR000139,2024-01-09,COAL,T06,Long,996,109.56,109122.84,-3331.37
TR000140,2024-01-09,COAL,T05,Short,936,105.21,98476.3,262.55
TR000141,2024-01-09,COAL,T05,Short,619,102.77,63612.64,540.71
TR000142,2024-01-09,COAL,T06,Long,1133,120.04,136007.09,-3379.26
TR000143,2024-01-09,PWR,T07,Short,1609,81.1,130493.38,-1834.52
TR000144,2024-01-09,COAL,T03,Short,775,107.81,83550.73,582.0
TR000145,2024-01-09,PWR,T07,Short,1568,79.35,124413.63,-3021.02
TR000146,2024-01-09,CO2,T08,Long,1161,64.99,75448.41,-646.22
TR000147,2024-01-09,CO2,T03,Long,1818,65.32,118758.6,-1390.32
TR000148,2024-01-09,PWR,T01,Long,1043,91.13,95050.64,888.69
TR000149,2024-01-09,CO2,T04,Short,1337,72.15,96460.17,-517.88
TR000150,2024-01-09,CO2,T02,Short,1387,65.53,90885.51,-1295.32
TR000151,2024-01-09,COAL,T08,Long,1597,112.66,179910.22,4229.74
TR000152,2024-01-09,PWR,T07,Short,1885,81.63,153880.99,188.93
TR000153,2024-01-09,GAS,T07,Long,142,33.02,4689.18,-71.94
TR000154,2024-01-09,COAL,T06,Long,854,114.56,97834.04,-403.19
TR000155,2024-01-09,CO2,T08,Long,915,63.48,58087.06,66.76
TR000156,2024-01-10,COAL,T01,Long,960,115.94,111299.62,2304.05
TR000157,2024-01-10,GAS,T01,Long,1054,28.08,29597.67,168.07
TR000158,2024-01-10,GAS,T03,Long,77,31.53,2428.06,-40.78
TR000159,2024-01-10,PWR,T02,Long,1780,75.57,134510.86,-549.6
TR000160,2024-01-10,CO2,T07,Short,1021,73.63,75176.26,1420.74
TR000161,2024-01-10,CO2,T02,Short,1570,63.84,100221.93,-3122.04
TR000162,2024-01-10,CO2,T05,Long,560,64.81,36294.02,-20.26
TR000163,2024-01-10,GAS,T02,Long,1085,32.38,35135.86,-471.47
TR000164,2024-01-10,PWR,T06,Long,544,84.27,45844.24,746.71
TR000165,2024-01-10,COAL,T01,Long,1414,107.19,151564.64,1149.07
TR000166,2024-01-10,CO2,T07,Long,163,65.68,10705.29,58.61
TR000167,2024-01-10,GAS,T05,Short,1360,32.37,44019.76,-496.37
TR000168,2024-01-10,PWR,T06,Long,1234,75.22,92816.02,1296.19
TR000169,2024-01-10,CO2,T02,Short,543,64.14,34826.82,-503.64
TR000170,2024-01-10,COAL,T08,Short,871,108.82,94786.19,-1348.11
TR000171,2024-01-10,PWR,T05,Long,1490,90.44,134761.54,-4360.17
TR000172,2024-01-11,COAL,T01,Long,1076,107.37,115535.42,3903.54
TR000173,2024-01-11,CO2,T03,Short,1813,58.74,106496.3,-273.12
TR000174,2024-01-11,CO2,T05,Long,764,64.11,48983.5,288.09
TR000175,2024-01-11,CO2,T07,Long,543,66.9,36327.04,1278.92
TR000176,2024-01-11,COAL,T01,Long,1418,107.71,152733.97,-3635.4
TR000177,2024-01-11,COAL,T06,Short,347,110.74,38425.21,540.2
TR000178,2024-01-11,CO2,T03,Long,1293,66.07,85422.36,2883.59
TR000179,2024-01-11,PWR,T04,Short,908,87.04,79030.92,-1789.65
TR000180,2024-01-11,GAS,T05,Long,1042,32.47,33831.49,-396.85
TR000181,2024-01-11,PWR,T05,Short,854,77.07,65819.09,-142.42
TR000182,2024-01-11,CO2,T04,Long,1731,67.7,117190.82,-2723.86
TR000183,2024-01-11,GAS,T08,Short,1240,32.97,40887.71,-998.72
TR000184,2024-01-11,CO2,T07,Long,1048,59.5,62350.81,-1143.11
TR000185,2024-01-11,PWR,T01,Short,1635,91.41,149455.52,-243.33
TR000186,2024-01-11,CO2,T01,Long,1871,71.62,134006.69,842.27
TR000187,2024-01-12,CO2,T08,Long,495,65.77,32556.4,-690.38
TR000188,2024-01-12,COAL,T06,Long,676,106.49,71989.76,-304.71
TR000189,2024-01-12,PWR,T03,Short,1816,80.53,146233.44,-494.29
TR000190,2024-01-12,PWR,T03,Long,798,83.33,66497.55,-406.79
TR000191,2024-01-12,PWR,T08,Short,1269,78.36,99435.54,3211.11
TR000192,2024-01-12,GAS,T05,Long,1289,31.44,40521.43,708.9
TR000193,2024-01-12,GAS,T02,Short,1539,32.93,50685.55,683.09
TR000194,2024-01-12,GAS,T03,Short,882,33.51,29557.06,708.36
TR000195,2024-01-12,GAS,T08,Long,1465,31.54,46204.71,-687.74
TR000196,2024-01-12,CO2,T02,Short,1901,53.85,102360.76,-450.29
TR000197,2024-01-12,CO2,T08,Long,827,69.57,57535.67,-1739.53
TR000198,2024-01-12,GAS,T07,Short,1153,31.17,35936.49,163.05
TR000199,2024-01-12,PWR,T07,Long,1763,90.93,160304.82,1022.73
TR000200,2024-01-12,CO2,T01,Short,647,59.97,38803.1,43.57
TR000201,2024-01-12,COAL,T07,Long,1961,117.04,229509.55,2733.52
TR000202,2024-01-12,PWR,T07,Short,749,79.03,59190.53,27.47
TR000203,2024-01-12,PWR,T01,Long,1300,89.59,116469.54,-2163.36
TR000204,2024-01-12,CO2,T04,Long,621,69.57,43199.91,-726.29
TR000205,2024-01-12,PWR,T03,Short,775,93.74,72650.57,-1323.49
TR000206,2024-01-12,COAL,T02,Short,1578,109.2,172322.69,-232.75
TR000207,2024-01-15,PWR,T07,Short,1724,76.9,132567.99,1932.07
TR000208,2024-01-15,COAL,T06,Long,569,115.11,65497.92,185.11
TR000209,2024-01-15,GAS,T03,Long,1455,31.64,46042.55,-173.23
